2020-08-20 00:00:01,039 INFO 1044 [egg-logrotator] agent logger reload: got log-reload message
2020-08-20 00:09:21,623 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"E:\\tryproject\\firstegg\\app\\controller\\tryLogin.js___jb_tmp___","stat":{"dev":239992389,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":5348024558342360,"size":4812,"atimeMs":1597853361621.2122,"mtimeMs":1597853361621.2122,"ctimeMs":1597853361621.2122,"birthtimeMs":1597853361620.2168,"atime":"2020-08-19T16:09:21.621Z","mtime":"2020-08-19T16:09:21.621Z","ctime":"2020-08-19T16:09:21.621Z","birthtime":"2020-08-19T16:09:21.620Z"},"remove":false,"isDirectory":false,"isFile":true}
2020-08-20 00:09:21,624 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"E:\\tryproject\\firstegg\\app\\controller","stat":{"dev":239992389,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":1688849860932213,"size":0,"atimeMs":1597853361622.174,"mtimeMs":1597853361621.2122,"ctimeMs":1597853361621.2122,"birthtimeMs":1577173715697.0762,"atime":"2020-08-19T16:09:21.622Z","mtime":"2020-08-19T16:09:21.621Z","ctime":"2020-08-19T16:09:21.621Z","birthtime":"2019-12-24T07:48:35.697Z"},"remove":false,"isDirectory":true,"isFile":false}
2020-08-20 00:09:21,625 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"E:\\tryproject\\firstegg\\app\\controller\\tryLogin.js___jb_tmp___","stat":{"dev":239992389,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":5348024558342360,"size":4812,"atimeMs":1597853361621.2122,"mtimeMs":1597853361621.2122,"ctimeMs":1597853361621.2122,"birthtimeMs":1597853361620.2168,"atime":"2020-08-19T16:09:21.621Z","mtime":"2020-08-19T16:09:21.621Z","ctime":"2020-08-19T16:09:21.621Z","birthtime":"2020-08-19T16:09:21.620Z"},"remove":false,"isDirectory":false,"isFile":true}
2020-08-20 00:09:21,630 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"E:\\tryproject\\firstegg\\app\\controller\\tryLogin.js___jb_old___","remove":true,"isDirectory":false,"isFile":false}
2020-08-20 00:09:21,630 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"E:\\tryproject\\firstegg\\app\\controller\\tryLogin.js","stat":{"dev":239992389,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":5348024558342360,"size":4812,"atimeMs":1597853361621.2122,"mtimeMs":1597853361621.2122,"ctimeMs":1597853361625.1663,"birthtimeMs":1597853361620.2168,"atime":"2020-08-19T16:09:21.621Z","mtime":"2020-08-19T16:09:21.621Z","ctime":"2020-08-19T16:09:21.625Z","birthtime":"2020-08-19T16:09:21.620Z"},"remove":false,"isDirectory":false,"isFile":true}
2020-08-20 00:09:21,633 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"E:\\tryproject\\firstegg\\app\\controller","stat":{"dev":239992389,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":1688849860932213,"size":0,"atimeMs":1597853361629.1565,"mtimeMs":1597853361626.1636,"ctimeMs":1597853361626.1636,"birthtimeMs":1577173715697.0762,"atime":"2020-08-19T16:09:21.629Z","mtime":"2020-08-19T16:09:21.626Z","ctime":"2020-08-19T16:09:21.626Z","birthtime":"2019-12-24T07:48:35.697Z"},"remove":false,"isDirectory":true,"isFile":false}
2020-08-20 00:09:21,633 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"E:\\tryproject\\firstegg\\app\\controller\\tryLogin.js___jb_tmp___","remove":true,"isDirectory":false,"isFile":false}
2020-08-20 00:09:21,633 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"E:\\tryproject\\firstegg\\app\\controller\\tryLogin.js___jb_old___","remove":true,"isDirectory":false,"isFile":false}
2020-08-20 00:09:21,634 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"E:\\tryproject\\firstegg\\app\\controller\\tryLogin.js","stat":{"dev":239992389,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":5348024558342360,"size":4812,"atimeMs":1597853361621.2122,"mtimeMs":1597853361621.2122,"ctimeMs":1597853361625.1663,"birthtimeMs":1597853361620.2168,"atime":"2020-08-19T16:09:21.621Z","mtime":"2020-08-19T16:09:21.621Z","ctime":"2020-08-19T16:09:21.625Z","birthtime":"2020-08-19T16:09:21.620Z"},"remove":false,"isDirectory":false,"isFile":true}
2020-08-20 00:09:21,634 INFO 1044 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"E:\\tryproject\\firstegg\\app\\controller","stat":{"dev":239992389,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":1688849860932213,"size":0,"atimeMs":1597853361629.1565,"mtimeMs":1597853361626.1636,"ctimeMs":1597853361626.1636,"birthtimeMs":1577173715697.0762,"atime":"2020-08-19T16:09:21.629Z","mtime":"2020-08-19T16:09:21.626Z","ctime":"2020-08-19T16:09:21.626Z","birthtime":"2019-12-24T07:48:35.697Z"},"remove":false,"isDirectory":true,"isFile":false}
